iter	Passed	Remaining
0	1	1553
1	4	1745
2	6	1765
3	9	1950
4	11	1854
5	13	1735
6	14	1651
7	16	1584
8	18	1587
9	19	1542
10	21	1506
11	22	1478
12	24	1484
13	26	1496
14	28	1482
15	29	1465
16	31	1451
17	33	1465
18	35	1447
19	36	1429
20	38	1412
21	40	1416
22	41	1412
23	43	1404
24	45	1396
25	47	1405
26	49	1405
27	50	1400
28	52	1397
29	54	1389
30	56	1400
31	58	1398
32	59	1392
33	61	1388
34	63	1387
35	65	1385
36	66	1376
37	68	1367
38	69	1358
39	71	1360
40	73	1357
41	75	1354
42	76	1352
43	78	1356
44	80	1349
45	81	1342
46	83	1334
47	84	1328
48	86	1324
49	88	1331
50	90	1330
51	92	1334
52	94	1331
53	96	1326
54	97	1323
55	99	1317
56	100	1313
57	102	1308
58	104	1307
59	106	1307
60	107	1304
61	109	1302
62	111	1302
63	112	1298
64	114	1292
65	115	1288
66	117	1285
67	119	1288
68	121	1287
69	123	1285
70	124	1281
71	126	1281
72	128	1277
73	129	1273
74	131	1271
75	133	1268
76	135	1273
77	138	1277
78	140	1280
79	142	1284
80	144	1283
81	146	1281
82	147	1277
83	149	1272
84	151	1271
85	153	1270
86	154	1269
87	156	1265
88	158	1263
89	159	1260
90	161	1257
91	163	1254
92	164	1251
93	166	1250
94	168	1247
95	169	1245
96	171	1243
97	173	1244
98	175	1245
99	178	1247
100	180	1248
101	181	1244
102	184	1245
103	185	1243
104	187	1240
105	188	1236
106	190	1233
107	192	1231
108	193	1228
109	195	1225
110	196	1222
111	199	1228
112	201	1225
113	203	1222
114	205	1223
115	207	1224
116	209	1223
117	211	1220
118	212	1217
119	215	1222
120	217	1221
121	219	1220
122	222	1226
123	225	1229
124	227	1229
125	230	1232
126	232	1233
127	235	1233
128	237	1236
129	240	1237
130	242	1236
131	244	1237
132	247	1240
133	249	1240
134	251	1238
135	253	1236
136	255	1234
137	257	1232
138	258	1231
139	263	1244
140	266	1245
141	268	1244
142	270	1241
143	271	1238
144	273	1235
145	275	1233
146	277	1234
147	281	1237
148	282	1233
149	283	1230
150	285	1227
151	287	1225
152	288	1222
153	290	1218
154	292	1215
155	294	1215
156	296	1215
157	298	1212
158	300	1209
159	301	1207
160	303	1205
161	305	1203
162	307	1202
163	310	1205
164	313	1205
165	314	1202
166	316	1199
167	318	1197
168	319	1194
169	321	1191
170	323	1190
171	325	1188
172	327	1188
173	330	1187
174	331	1185
175	333	1183
176	335	1179
177	336	1176
178	338	1173
179	339	1169
180	341	1168
181	343	1167
182	345	1164
183	347	1162
184	349	1160
185	350	1157
186	352	1154
187	353	1152
188	355	1149
189	358	1149
190	360	1148
191	362	1146
192	364	1145
193	365	1142
194	367	1139
195	368	1137
196	370	1133
197	371	1130
198	374	1130
199	376	1128
200	377	1125
201	379	1123
202	380	1120
203	382	1118
204	384	1115
205	385	1112
206	387	1110
207	390	1110
208	392	1108
209	394	1107
210	396	1106
211	398	1105
212	400	1103
213	401	1100
214	403	1097
215	406	1098
216	407	1095
217	409	1093
218	411	1092
219	413	1090
220	414	1087
221	416	1084
222	417	1081
223	419	1078
224	421	1078
225	424	1077
226	425	1075
227	427	1072
228	429	1069
229	430	1066
230	431	1064
231	433	1061
232	434	1058
233	437	1057
234	439	1056
235	441	1054
236	442	1051
237	444	1049
238	446	1047
239	447	1044
240	449	1041
241	451	1040
242	453	1039
243	455	1037
244	457	1035
245	458	1032
246	460	1030
247	461	1027
248	463	1026
249	465	1024
250	467	1022
251	470	1022
252	471	1019
253	473	1017
254	474	1014
255	476	1012
256	477	1009
257	479	1006
258	480	1004
259	485	1009
260	488	1008
261	490	1007
262	492	1005
263	494	1003
264	496	1002
265	498	1001
266	502	1002
267	504	1001
268	506	1000
269	508	998
270	510	995
271	511	993
272	513	991
273	514	988
274	517	987
275	518	984
276	520	981
277	521	979
278	522	976
279	524	973
280	526	971
281	527	969
282	529	966
283	531	964
284	533	964
285	535	962
286	537	959
287	539	959
288	541	957
289	543	955
290	544	952
291	546	950
292	548	948
293	549	946
294	551	944
295	553	942
296	555	940
297	556	938
298	558	935
299	559	933
300	561	930
301	562	927
302	565	926
303	566	924
304	568	922
305	569	919
306	571	917
307	573	916
308	575	914
309	577	912
310	579	910
311	581	909
312	583	907
313	585	905
314	586	903
315	588	901
316	589	898
317	591	896
318	592	893
319	594	891
320	596	890
321	598	888
322	600	886
323	601	884
324	603	881
325	604	879
326	606	877
327	608	875
328	610	874
329	612	873
330	615	871
331	617	869
332	619	868
333	621	867
334	623	865
335	624	862
336	627	862
337	630	861
338	632	859
339	634	858
340	636	857
341	640	857
342	645	860
343	648	859
344	651	859
345	655	860
346	659	861
347	662	860
348	664	859
349	667	857
350	671	859
351	674	857
352	678	858
353	680	856
354	683	856
355	686	855
356	688	854
357	691	854
358	694	853
359	696	851
360	699	850
361	701	848
362	703	847
363	706	846
364	709	845
365	711	843
366	713	841
367	715	839
368	717	837
369	719	836
370	721	834
371	724	833
372	727	832
373	729	830
374	731	828
375	733	827
376	735	825
377	737	823
378	740	822
379	742	820
380	744	818
381	746	816
382	749	815
383	751	813
384	753	812
385	756	811
386	758	809
387	760	807
388	762	805
389	764	803
390	765	801
391	767	798
392	769	796
393	771	795
394	773	793
395	775	791
396	777	788
397	778	786
398	780	784
399	782	782
400	784	780
401	787	779
402	789	778
403	792	776
404	794	774
405	796	772
406	798	770
407	800	768
408	802	767
409	805	765
410	806	763
411	808	761
412	809	758
413	811	756
414	813	755
415	815	752
416	817	750
417	820	749
418	822	747
419	824	745
420	825	743
421	827	741
422	829	739
423	831	737
424	834	736
425	836	734
426	838	732
427	840	730
428	842	728
429	843	726
430	845	723
431	847	721
432	849	719
433	851	717
434	853	715
435	855	714
436	857	711
437	858	709
438	860	707
439	861	705
440	863	702
441	865	701
442	867	698
443	868	696
444	870	694
445	871	691
446	873	689
447	874	687
448	876	685
449	878	682
450	879	680
451	881	678
452	883	676
453	884	674
454	886	672
455	888	670
456	889	667
457	891	665
458	892	663
459	894	660
460	895	658
461	898	657
462	900	655
463	901	652
464	903	650
465	904	648
466	906	646
467	907	643
468	909	641
469	910	639
470	912	637
471	915	635
472	916	633
473	919	632
474	920	630
475	922	627
476	923	625
477	925	623
478	926	620
479	928	618
480	930	617
481	932	615
482	934	613
483	935	610
484	937	608
485	938	606
486	940	604
487	941	602
488	943	599
489	945	597
490	946	595
491	948	593
492	949	591
493	951	589
494	952	586
495	953	584
496	956	582
497	958	580
498	959	578
499	962	577
500	963	575
501	965	573
502	967	571
503	968	569
504	970	566
505	972	565
506	973	562
507	975	560
508	977	558
509	979	556
510	980	554
511	982	552
512	984	550
513	985	548
514	987	546
515	989	544
516	991	542
517	994	541
518	996	539
519	997	537
520	1000	535
521	1001	533
522	1003	531
523	1004	529
524	1006	527
525	1007	524
526	1010	523
527	1011	521
528	1013	519
529	1014	517
530	1016	514
531	1017	512
532	1019	510
533	1020	508
534	1022	506
535	1023	504
536	1026	502
537	1027	500
538	1030	498
539	1031	496
540	1033	494
541	1034	492
542	1035	490
543	1037	488
544	1038	486
545	1040	484
546	1042	482
547	1044	480
548	1045	478
549	1047	476
550	1049	474
551	1050	472
552	1052	469
553	1053	467
554	1054	465
555	1057	464
556	1059	462
557	1060	460
558	1062	458
559	1064	456
560	1065	454
561	1067	451
562	1068	449
563	1070	447
564	1071	445
565	1074	444
566	1076	442
567	1078	440
568	1079	438
569	1081	436
570	1083	434
571	1084	432
572	1086	430
573	1089	428
574	1091	427
575	1093	425
576	1096	423
577	1097	421
578	1099	419
579	1100	417
580	1102	415
581	1103	413
582	1105	411
583	1107	409
584	1108	407
585	1110	405
586	1111	403
587	1113	401
588	1114	399
589	1116	397
590	1117	395
591	1119	393
592	1121	391
593	1123	389
594	1124	387
595	1126	385
596	1127	383
597	1129	381
598	1130	379
599	1132	377
600	1133	375
601	1136	373
602	1138	371
603	1139	369
604	1141	367
605	1143	366
606	1144	364
607	1146	362
608	1148	360
609	1149	358
610	1152	356
611	1153	354
612	1155	352
613	1157	350
614	1160	348
615	1161	346
616	1163	345
617	1164	342
618	1166	340
619	1168	339
620	1169	337
621	1171	335
622	1173	333
623	1174	331
624	1176	329
625	1178	327
626	1179	325
627	1181	323
628	1183	321
629	1184	319
630	1186	317
631	1188	315
632	1190	313
633	1191	311
634	1192	309
635	1194	308
636	1195	306
637	1197	304
638	1199	302
639	1200	300
640	1203	298
641	1204	296
642	1206	294
643	1207	292
644	1209	290
645	1210	288
646	1212	286
647	1213	284
648	1215	282
649	1217	281
650	1219	279
651	1221	277
652	1222	275
653	1224	273
654	1225	271
655	1227	269
656	1228	267
657	1230	265
658	1232	263
659	1234	261
660	1235	259
661	1237	258
662	1239	256
663	1241	254
664	1243	252
665	1244	250
666	1246	248
667	1248	246
668	1250	244
669	1251	242
670	1253	241
671	1255	239
672	1257	237
673	1258	235
674	1260	233
675	1262	231
676	1264	229
677	1265	227
678	1267	225
679	1269	223
680	1270	222
681	1273	220
682	1274	218
683	1276	216
684	1277	214
685	1279	212
686	1281	210
687	1283	209
688	1285	207
689	1287	205
690	1288	203
691	1290	201
692	1291	199
693	1293	197
694	1295	195
695	1296	193
696	1298	191
697	1300	190
698	1302	188
699	1303	186
700	1305	184
701	1306	182
702	1308	180
703	1310	178
704	1312	176
705	1313	174
706	1315	173
707	1316	171
708	1318	169
709	1319	167
710	1321	165
711	1322	163
712	1324	161
713	1326	159
714	1328	157
715	1330	156
716	1332	154
717	1334	152
718	1335	150
719	1337	148
720	1338	146
721	1340	144
722	1342	143
723	1344	141
724	1346	139
725	1349	137
726	1350	135
727	1352	133
728	1353	131
729	1355	129
730	1356	128
731	1359	126
732	1360	124
733	1362	122
734	1364	120
735	1366	118
736	1367	116
737	1369	115
738	1370	113
739	1372	111
740	1374	109
741	1376	107
742	1378	105
743	1380	103
744	1382	102
745	1383	100
746	1384	98
747	1386	96
748	1387	94
749	1389	92
750	1391	90
751	1392	88
752	1394	87
753	1395	85
754	1397	83
755	1399	81
756	1400	79
757	1402	77
758	1403	75
759	1405	73
760	1407	72
761	1409	70
762	1410	68
763	1412	66
764	1414	64
765	1415	62
766	1417	60
767	1418	59
768	1420	57
769	1422	55
770	1424	53
771	1426	51
772	1428	49
773	1430	48
774	1431	46
775	1433	44
776	1434	42
777	1437	40
778	1439	38
779	1441	36
780	1443	35
781	1445	33
782	1447	31
783	1448	29
784	1450	27
785	1452	25
786	1454	24
787	1456	22
788	1458	20
789	1460	18
790	1461	16
791	1463	14
792	1464	12
793	1466	11
794	1468	9
795	1470	7
796	1472	5
797	1473	3
798	1475	1
799	1476	0
