iter	Passed	Remaining
0	1	1486
1	3	1411
2	5	1344
3	6	1308
4	8	1285
5	9	1279
6	12	1399
7	14	1393
8	15	1374
9	17	1363
10	19	1362
11	20	1348
12	22	1346
13	23	1334
14	25	1321
15	27	1329
16	29	1335
17	30	1338
18	32	1348
19	34	1341
20	35	1333
21	37	1330
22	39	1322
23	40	1315
24	42	1314
25	44	1324
26	46	1321
27	48	1347
28	50	1342
29	52	1334
30	53	1328
31	55	1321
32	56	1316
33	58	1317
34	60	1331
35	63	1339
36	64	1337
37	66	1331
38	67	1325
39	69	1319
40	70	1313
41	72	1307
42	74	1305
43	76	1308
44	77	1308
45	79	1308
46	81	1303
47	82	1298
48	84	1293
49	85	1288
50	87	1284
51	89	1280
52	90	1282
53	92	1280
54	94	1276
55	95	1272
56	97	1268
57	98	1264
58	100	1260
59	101	1256
60	103	1252
61	104	1247
62	107	1256
63	109	1254
64	110	1250
65	112	1247
66	113	1243
67	115	1239
68	116	1236
69	118	1232
70	119	1230
71	121	1233
72	124	1238
73	126	1236
74	127	1235
75	129	1235
76	131	1233
77	133	1233
78	136	1244
79	139	1252
80	141	1255
81	143	1255
82	145	1254
83	146	1252
84	148	1249
85	150	1252
86	154	1263
87	156	1266
88	158	1264
89	161	1277
90	164	1279
91	166	1282
92	169	1286
93	171	1291
94	174	1292
95	177	1298
96	180	1307
97	184	1320
98	187	1326
99	189	1324
100	191	1324
101	193	1324
102	198	1340
103	200	1343
104	203	1349
105	206	1355
106	209	1355
107	211	1354
108	213	1350
109	214	1346
110	216	1341
111	218	1339
112	219	1334
113	221	1332
114	223	1330
115	224	1326
116	226	1323
117	228	1321
118	231	1326
119	234	1330
120	236	1328
121	239	1330
122	241	1329
123	243	1328
124	246	1328
125	248	1329
126	251	1333
127	254	1334
128	256	1333
129	258	1333
130	260	1332
131	264	1336
132	266	1336
133	268	1335
134	270	1333
135	273	1334
136	275	1333
137	318	1527
138	325	1548
139	329	1553
140	332	1552
141	334	1552
142	338	1554
143	349	1590
144	351	1586
145	352	1580
146	354	1574
147	356	1569
148	357	1560
149	358	1555
150	361	1555
151	363	1549
152	365	1545
153	367	1540
154	369	1536
155	370	1531
156	372	1526
157	374	1520
158	376	1518
159	379	1516
160	381	1512
161	382	1507
162	384	1503
163	386	1498
164	387	1493
165	389	1488
166	392	1486
167	394	1483
168	397	1482
169	398	1477
170	400	1474
171	403	1471
172	405	1468
173	406	1463
174	408	1460
175	410	1456
176	413	1454
177	415	1450
178	416	1446
179	418	1441
180	420	1437
181	422	1433
182	424	1430
183	426	1426
184	428	1424
185	430	1420
186	432	1417
187	434	1414
188	436	1410
189	438	1406
190	439	1401
191	441	1397
192	442	1392
193	444	1389
194	446	1385
195	448	1383
196	450	1379
197	452	1375
198	453	1370
199	455	1365
200	456	1361
201	458	1357
202	461	1356
203	462	1352
204	464	1348
205	466	1344
206	467	1339
207	469	1335
208	470	1330
209	472	1326
210	473	1322
211	475	1319
212	477	1316
213	479	1312
214	480	1308
215	482	1303
216	483	1299
217	485	1295
218	486	1291
219	488	1287
220	489	1283
221	492	1282
222	494	1278
223	495	1274
224	497	1270
225	498	1266
226	500	1262
227	501	1258
228	503	1254
229	504	1250
230	506	1246
231	508	1245
232	510	1241
233	512	1238
234	513	1235
235	515	1231
236	516	1227
237	518	1223
238	519	1220
239	521	1216
240	523	1215
241	525	1211
242	527	1208
243	528	1204
244	530	1201
245	531	1197
246	533	1193
247	534	1190
248	536	1186
249	537	1183
250	540	1181
251	541	1177
252	543	1174
253	544	1171
254	546	1167
255	547	1164
256	549	1160
257	550	1157
258	552	1154
259	554	1151
260	556	1149
261	558	1146
262	559	1143
263	561	1139
264	562	1136
265	564	1133
266	565	1129
267	567	1127
268	569	1124
269	572	1122
270	573	1119
271	575	1116
272	576	1113
273	578	1110
274	579	1106
275	581	1104
276	584	1103
277	588	1104
278	590	1102
279	592	1100
280	594	1097
281	596	1095
282	598	1092
283	599	1089
284	601	1086
285	603	1084
286	605	1082
287	607	1080
288	609	1078
289	611	1075
290	613	1073
291	615	1071
292	617	1069
293	620	1068
294	623	1066
295	624	1064
296	626	1061
297	628	1058
298	629	1055
299	631	1052
300	632	1049
301	635	1047
302	637	1045
303	638	1042
304	640	1039
305	641	1036
306	643	1033
307	644	1030
308	646	1027
309	648	1024
310	649	1021
311	652	1020
312	653	1017
313	655	1014
314	657	1011
315	658	1008
316	660	1006
317	661	1003
318	663	1000
319	664	997
320	667	995
321	668	992
322	670	989
323	671	987
324	673	984
325	675	981
326	676	978
327	678	975
328	679	972
329	681	970
330	683	968
331	685	966
332	686	963
333	688	960
334	689	957
335	691	955
336	693	952
337	694	949
338	696	946
339	697	944
340	700	942
341	701	939
342	703	937
343	705	934
344	706	932
345	708	929
346	710	926
347	711	924
348	712	921
349	715	919
350	717	917
351	718	914
352	720	912
353	722	910
354	726	910
355	728	908
356	731	907
357	733	906
358	736	904
359	737	901
360	740	899
361	742	897
362	746	898
363	748	896
364	750	894
365	754	894
366	756	892
367	758	890
368	761	889
369	764	888
370	767	887
371	769	885
372	773	885
373	775	882
374	778	882
375	781	880
376	783	878
377	785	876
378	787	875
379	790	873
380	791	870
381	794	869
382	797	867
383	799	866
384	801	864
385	805	863
386	807	861
387	811	861
388	813	859
389	815	857
390	816	854
391	819	852
392	820	850
393	822	847
394	824	845
395	827	844
396	829	841
397	830	839
398	832	836
399	834	834
400	836	832
401	837	829
402	840	828
403	843	826
404	845	824
405	847	822
406	849	819
407	851	817
408	853	815
409	855	813
410	857	811
411	859	809
412	861	807
413	864	805
414	865	803
415	867	800
416	870	799
417	873	797
418	874	795
419	876	793
420	878	790
421	879	788
422	881	785
423	883	783
424	884	780
425	886	778
426	888	775
427	890	774
428	892	772
429	894	769
430	896	767
431	897	764
432	899	762
433	901	760
434	902	757
435	904	755
436	906	752
437	908	750
438	910	748
439	912	746
440	914	744
441	915	741
442	917	739
443	919	737
444	921	735
445	923	733
446	925	730
447	927	728
448	929	726
449	930	723
450	932	721
451	934	719
452	935	716
453	938	715
454	940	712
455	942	711
456	944	708
457	946	706
458	947	704
459	949	702
460	951	699
461	953	697
462	956	695
463	958	694
464	960	691
465	961	689
466	963	686
467	965	684
468	966	682
469	968	679
470	970	677
471	972	675
472	974	673
473	975	671
474	977	668
475	978	666
476	980	663
477	982	661
478	983	659
479	986	657
480	988	655
481	989	652
482	991	650
483	992	648
484	994	646
485	996	643
486	997	641
487	999	639
488	1001	637
489	1003	635
490	1005	633
491	1007	630
492	1009	628
493	1010	626
494	1012	623
495	1014	621
496	1016	619
497	1018	617
498	1020	615
499	1021	613
500	1023	610
501	1024	608
502	1026	606
503	1028	603
504	1029	601
505	1031	599
506	1033	597
507	1035	595
508	1037	592
509	1038	590
510	1040	588
511	1041	585
512	1043	583
513	1045	581
514	1046	579
515	1048	577
516	1050	574
517	1051	572
518	1054	570
519	1055	568
520	1057	566
521	1059	564
522	1060	561
523	1062	559
524	1063	557
525	1066	555
526	1067	553
527	1069	550
528	1074	550
529	1076	548
530	1077	545
531	1079	543
532	1081	541
533	1083	539
534	1084	537
535	1086	535
536	1087	532
537	1089	530
538	1091	528
539	1092	526
540	1094	523
541	1095	521
542	1097	519
543	1099	517
544	1102	515
545	1103	513
546	1105	511
547	1107	509
548	1108	506
549	1110	504
550	1112	502
551	1114	500
552	1116	498
553	1117	496
554	1119	494
555	1120	491
556	1122	489
557	1123	487
558	1125	485
559	1127	483
560	1129	481
561	1131	479
562	1133	477
563	1134	474
564	1136	472
565	1137	470
566	1139	468
567	1140	465
568	1142	463
569	1144	461
570	1146	459
571	1148	457
572	1150	455
573	1151	453
574	1153	451
575	1154	449
576	1156	446
577	1157	444
578	1159	442
579	1161	440
580	1163	438
581	1166	436
582	1167	434
583	1169	432
584	1171	430
585	1172	428
586	1174	426
587	1176	424
588	1177	421
589	1179	419
590	1181	417
591	1183	415
592	1184	413
593	1186	411
594	1187	409
595	1189	407
596	1190	404
597	1193	403
598	1195	401
599	1196	398
600	1198	396
601	1200	394
602	1202	392
603	1203	390
604	1205	388
605	1206	386
606	1208	384
